date,day,visitors
2018-12-06,목,878.0
2018-12-07,금,440.0
2018-12-08,토,807.0
2018-12-09,일,808.0
2018-12-10,월,553.0
2018-12-11,화,997.0
2018-12-12,수,2089.0
2018-12-13,목,854.0
2018-12-14,금,456.0
2018-12-15,토,1381.0
2018-12-16,일,1134.0
2018-12-17,월,656.0
2018-12-18,화,861.0
2018-12-19,수,809.0
2018-12-20,목,876.0
2018-12-21,금,1630.0
2018-12-22,토,1982.0
2018-12-23,일,2948.0
2018-12-24,월,982.0
2018-12-25,화,2402.0
2018-12-26,수,752.0
2018-12-27,목,3943.0
2018-12-28,금,357.0
2018-12-29,토,734.0
2018-12-30,일,915.0
2018-12-31,월,834.0
