date,visitors,zoo_garden_group,theme_garden_group,individual_visitors
2021-10-09,13776,0,0,13776
2021-10-10,6376,0,0,6376
2021-10-11,14410,0,0,14410
2021-10-12,1763,0,0,1763
2021-10-13,2368,0,0,2368
2021-10-14,2310,0,0,2310
2021-10-15,1857,0,0,1857
2021-10-16,7823,0,0,7823
2021-10-17,5034,0,0,5034
2021-10-18,3236,0,0,3236
2021-10-19,1091,0,0,1091
2021-10-20,1863,0,0,1863
2021-10-21,1938,124,0,1814
2021-10-22,2386,28,0,2358
2021-10-23,11525,0,0,11525
2021-10-24,14344,0,0,14344
2021-10-25,2267,0,0,2267
2021-10-26,2433,0,0,2433
2021-10-27,20162,17893,0,2269
2021-10-28,3071,0,0,3071
2021-10-29,3468,0,0,3468
2021-10-30,13047,0,0,13047
2021-10-31,15648,0,0,15648
2021-11-01,3168,30,0,3138
2021-11-02,3353,0,0,3353
2021-11-03,3310,0,0,3310
2021-11-04,2533,0,0,2533
2021-11-05,3846,0,0,3846
2021-11-06,15092,0,0,15092
2021-11-07,16700,0,0,16700
2021-11-08,171,0,0,171
2021-11-09,385,0,0,385
2021-11-10,930,36,0,894
2021-11-11,1515,173,99,1243
2021-11-12,1593,143,48,1402
2021-11-13,6639,0,56,6583
2021-11-14,8436,0,0,8436
2021-11-15,1680,36,42,1602
2021-11-16,3665,0,45,3620
2021-11-17,1631,0,0,1631
2021-11-18,1073,0,0,1073
2021-11-19,1748,0,0,1748
2021-11-20,4321,0,0,4321
2021-11-21,3040,0,0,3040
2021-11-22,683,0,0,683
2021-11-23,436,0,0,436
2021-11-24,523,0,0,523
2021-11-25,665,0,0,665
2021-11-26,16233,15450,0,783
2021-11-27,15992,12433,0,3559
2021-11-28,4650,0,0,4650
2021-11-29,1137,0,0,1137
2021-11-30,141,0,0,141
2021-12-01,321,0,0,321
2021-12-02,386,0,0,386
2021-12-03,361,0,0,361
2021-12-04,1741,0,0,1741
2021-12-05,2830,0,0,2830
2021-12-06,696,0,0,696
2021-12-07,1776,125,0,1651
2021-12-08,744,0,0,744
2021-12-09,645,0,0,645
2021-12-10,404,0,0,404
2021-12-11,2688,0,0,2688
2021-12-12,2415,0,0,2415
2021-12-13,267,0,0,267
2021-12-14,568,0,0,568
2021-12-15,339,0,0,339
2021-12-16,355,0,0,355
2021-12-17,343,0,0,343
2021-12-18,312,0,0,312
2021-12-19,573,0,0,573
2021-12-20,471,0,0,471
2021-12-21,460,0,0,460
2021-12-22,427,0,0,427
2021-12-23,430,0,0,430
2021-12-24,303,0,0,303
2021-12-25,390,0,0,390
2021-12-26,223,0,0,223
2021-12-27,12955,12804,0,151
2021-12-28,317,0,0,317
2021-12-29,394,0,0,394
2021-12-30,420,0,0,420
2021-12-31,202,0,0,202
