date,day,visitors,M열,U열
2020-09-07,월,76.0,0,0
2020-09-08,화,2201.0,0,0
2020-09-09,수,1003.0,0,0
2020-09-10,목,2243.0,179,0
2020-09-11,금,1557.0,0,0
2020-09-12,토,2947.0,30,0
2020-09-13,일,12859.0,0,0
2020-09-14,월,2085.0,0,0
2020-09-15,화,2066.0,0,0
2020-09-16,수,820.0,0,0
2020-09-17,목,1990.0,0,0
2020-09-18,금,3086.0,0,0
2020-09-19,토,12178.0,0,0
2020-09-20,일,13140.0,0,0
2020-09-21,월,2247.0,0,0
2020-09-22,화,2214.0,0,0
2020-09-23,수,2052.0,0,0
2020-09-24,목,2298.0,0,0
2020-09-25,금,2335.0,47,0
2020-09-26,토,13447.0,30,0
2020-09-27,일,16860.0,1400,0
2020-09-28,월,2594.0,0,0
2020-09-29,화,2608.0,0,0
2020-09-30,수,8986.0,0,0
2020-10-01,목,12365.0,0,0
2020-10-02,금,14323.0,0,0
2020-10-03,토,17995.0,0,0
2020-10-04,일,12932.0,0,0
2020-10-05,월,2634.0,0,0
2020-10-06,화,2407.0,0,0
2020-10-07,수,2600.0,0,0
2020-10-08,목,3057.0,0,0
2020-10-09,금,20177.0,0,0
2020-10-10,토,16405.0,30,0
2020-10-11,일,16264.0,0,0
2020-10-12,월,2757.0,0,0
2020-10-13,화,2857.0,0,0
2020-10-14,수,2933.0,0,0
2020-10-15,목,4093.0,0,0
2020-10-16,금,2772.0,33,0
2020-10-17,토,16441.0,0,0
2020-10-18,일,19461.0,0,0
2020-10-19,월,3141.0,36,46
2020-10-20,화,3559.0,0,33
2020-10-21,수,3093.0,287,0
2020-10-22,목,2704.0,30,40
2020-10-23,금,4009.0,78,0
2020-10-24,토,16500.0,62,0
2020-10-25,일,19042.0,214,0
2020-10-26,월,4035.0,0,215
2020-10-27,화,3842.0,50,42
2020-10-28,수,11655.0,7658,0
2020-10-29,목,4267.0,66,30
2020-10-30,금,4856.0,136,36
2020-10-31,토,20185.0,0,0
2020-11-01,일,2763.0,0,0
2020-11-02,월,3832.0,36,0
2020-11-03,화,2520.0,74,0
2020-11-04,수,2146.0,197,0
2020-11-05,목,3091.0,62,0
2020-11-06,금,2812.0,326,36
2020-11-07,토,12821.0,0,0
2020-11-08,일,14694.0,30,0
2020-11-09,월,1919.0,0,0
2020-11-10,화,2248.0,0,54
2020-11-11,수,2747.0,119,0
2020-11-12,목,2673.0,60,0
2020-11-13,금,3375.0,0,0
2020-11-14,토,9802.0,0,0
2020-11-15,일,9447.0,0,0
2020-11-16,월,1811.0,0,0
2020-11-17,화,1685.0,0,0
2020-11-18,수,809.0,0,0
2020-11-19,목,256.0,0,0
2020-11-20,금,976.0,0,0
2020-11-21,토,4101.0,0,0
2020-11-22,일,2557.0,0,0
2020-11-23,월,762.0,0,0
2020-11-24,화,819.0,0,0
2020-11-25,수,911.0,0,0
2020-11-26,목,10031.0,9134,0
2020-11-27,금,784.0,0,0
2020-11-28,토,1651.0,0,0
2020-11-29,일,9912.0,8489,0
2020-11-30,월,576.0,0,0
2020-12-01,화,727.0,0,0
2020-12-02,수,628.0,0,0
2020-12-03,목,614.0,0,0
2020-12-04,금,678.0,0,0
2020-12-05,토,1701.0,0,0
2020-12-06,일,2385.0,0,0
2020-12-07,월,928.0,0,0
2020-12-08,화,591.0,0,0
2020-12-09,수,615.0,0,0
2020-12-10,목,683.0,0,0
2020-12-11,금,7810.0,7252,0
2020-12-12,토,1641.0,0,0
2020-12-13,일,644.0,0,0
2020-12-14,월,217.0,0,0
2020-12-15,화,101.0,0,0
2020-12-16,수,114.0,0,0
2020-12-17,목,133.0,0,0
2020-12-18,금,230.0,0,0
2020-12-19,토,380.0,0,0
2020-12-20,일,696.0,0,0
2020-12-21,월,231.0,0,0
2020-12-22,화,282.0,0,0
2020-12-23,수,288.0,0,0
2020-12-24,목,347.0,0,0
2020-12-25,금,1058.0,0,0
2020-12-26,토,1356.0,0,0
2020-12-27,일,1876.0,0,0
2020-12-28,월,802.0,0,0
2020-12-29,화,244.0,0,0
2020-12-30,수,72.0,0,0
2020-12-31,목,139.0,0,0
