date,visitors,zoo_garden_group,theme_garden_group,individual_visitors
2020-11-24,819.0,0,0,819.0
2020-11-25,911.0,0,0,911.0
2020-11-26,10031.0,9134,0,897.0
2020-11-27,784.0,0,0,784.0
2020-11-28,1651.0,0,0,1651.0
2020-11-29,9912.0,8489,0,1423.0
2020-11-30,576.0,0,0,576.0
2020-12-01,727.0,0,0,727.0
2020-12-02,628.0,0,0,628.0
2020-12-03,614.0,0,0,614.0
2020-12-04,678.0,0,0,678.0
2020-12-05,1701.0,0,0,1701.0
2020-12-06,2385.0,0,0,2385.0
2020-12-07,928.0,0,0,928.0
2020-12-08,591.0,0,0,591.0
2020-12-09,615.0,0,0,615.0
2020-12-10,683.0,0,0,683.0
2020-12-11,7810.0,7252,0,558.0
2020-12-12,1641.0,0,0,1641.0
2020-12-13,644.0,0,0,644.0
2020-12-14,217.0,0,0,217.0
2020-12-15,101.0,0,0,101.0
2020-12-16,114.0,0,0,114.0
2020-12-17,133.0,0,0,133.0
2020-12-18,230.0,0,0,230.0
2020-12-19,380.0,0,0,380.0
2020-12-20,696.0,0,0,696.0
2020-12-21,231.0,0,0,231.0
2020-12-22,282.0,0,0,282.0
2020-12-23,288.0,0,0,288.0
2020-12-24,347.0,0,0,347.0
2020-12-25,1058.0,0,0,1058.0
2020-12-26,1356.0,0,0,1356.0
2020-12-27,1876.0,0,0,1876.0
2020-12-28,802.0,0,0,802.0
2020-12-29,244.0,0,0,244.0
2020-12-30,72.0,0,0,72.0
2020-12-31,139.0,0,0,139.0
